scene_id,mean_entropy,max_entropy,std_entropy,high_entropy_ratio,n_objects,n_metal,n_rubber,has_metal
76,0.5696064233779907,0.9878827929496765,0.23734714090824127,0.3211296237244898,6,4,2,True
77,0.5803887248039246,0.9991368055343628,0.28542596101760864,0.4532844387755102,4,1,3,True
78,0.6144877076148987,0.9995162487030029,0.2525433301925659,0.4348891900510204,10,5,5,True
79,0.5178320407867432,0.9942193031311035,0.26779642701148987,0.29707429846938777,4,3,1,True
80,0.49542126059532166,0.9987255930900574,0.2970525324344635,0.32393973214285715,7,5,3,True
81,0.5899339914321899,0.9911971092224121,0.243416890501976,0.4123485331632653,10,7,3,True
82,0.6053226590156555,0.9998010993003845,0.2489529252052307,0.4149593431122449,8,3,5,True
83,0.5379559993743896,0.9994863271713257,0.3026494085788727,0.4053930165816326,3,1,2,True
84,0.5617724657058716,0.9993941187858582,0.2666127681732178,0.39200015943877553,7,6,1,True
85,0.5399453043937683,0.9792675375938416,0.23400627076625824,0.31246014030612246,9,4,5,True
86,0.5808665752410889,0.9870720505714417,0.2680620551109314,0.43654336734693877,10,5,5,True
87,0.47574564814567566,0.9980036616325378,0.2922588586807251,0.2733577806122449,4,3,1,True
88,0.5756607055664062,0.9997250437736511,0.28681492805480957,0.46243223852040816,4,2,2,True
89,0.5694943070411682,0.9665894508361816,0.23917987942695618,0.3500279017857143,9,5,4,True
90,0.577392578125,0.9996737241744995,0.267215371131897,0.4043765943877551,5,2,3,True
91,0.6413892507553101,0.99962317943573,0.2387549728155136,0.4695671237244898,4,0,4,False
92,0.5748292803764343,0.9920231103897095,0.19693443179130554,0.29884805484693877,9,4,5,True
93,0.527410089969635,0.9993035197257996,0.252734899520874,0.2942044005102041,5,3,2,True
94,0.5836580395698547,0.9911194443702698,0.2520748972892761,0.38538345025510207,6,4,4,True
95,0.6116182804107666,0.9997183084487915,0.23876383900642395,0.37960379464285715,4,4,0,True
96,0.5780096054077148,0.999822735786438,0.2899577021598816,0.4577686543367347,7,4,3,True
97,0.5587499737739563,0.9858962297439575,0.25173160433769226,0.34339126275510207,6,4,2,True
98,0.5673531293869019,0.9912241101264954,0.25575771927833557,0.3684231505102041,8,1,7,True
99,0.528614342212677,0.9976285696029663,0.2429867535829544,0.2903380102040816,10,5,5,True
100,0.5419224500656128,0.9954628348350525,0.24712984263896942,0.3394252232142857,9,4,5,True
101,0.5959116220474243,0.9996430277824402,0.23380997776985168,0.38827327806122447,7,3,4,True
102,0.6015071272850037,0.9996182918548584,0.2542001008987427,0.45316485969387754,4,1,3,True
103,0.5821428298950195,0.9928165078163147,0.24538244307041168,0.37533880739795916,8,4,4,True
104,0.5463954210281372,0.9997984170913696,0.27450937032699585,0.39578683035714285,10,5,5,True
105,0.5716927647590637,0.9996968507766724,0.26937565207481384,0.35939492984693877,6,4,2,True
106,0.5027467608451843,0.9889751672744751,0.2736096978187561,0.29813058035714285,9,4,5,True
107,0.5754561424255371,0.9969092607498169,0.25089022517204285,0.39120296556122447,6,1,5,True
108,0.575843095779419,0.9995409250259399,0.27908626198768616,0.4432397959183674,6,1,5,True
109,0.5346552133560181,0.999879777431488,0.29437822103500366,0.38608099489795916,7,4,3,True
110,0.5722944736480713,0.9848421812057495,0.2707350254058838,0.3873963647959184,3,2,1,True
111,0.5078611373901367,0.9611741900444031,0.24501527845859528,0.2782405931122449,7,6,2,True
112,0.6402998566627502,0.995843231678009,0.2089325338602066,0.46813217474489793,4,2,2,True
113,0.5891928672790527,0.9997763633728027,0.24714843928813934,0.3888313137755102,8,6,4,True
114,0.6804711222648621,0.9994292259216309,0.21553367376327515,0.5497448979591837,4,2,2,True
